run_id,task_id,status,score,cost_usd,tokens_in,tokens_out,cache_hit,cache_miss,turns,max_turns,wall_sec,llm_wall_sec_db,llm_wall_sec_recompute,bash_total_sec,qe_bash_db,qe_self_db,qe_wall_real,qe_derived,harness_residual,n_turns_seen,n_with_llm_wall,n_out_files,gpu_util_p50,gpu_util_p95,gpu_util_max,mem_util_p95,mem_used_p95_mib,power_p95_w,temp_max,throttle_count,n_gpu_samples,bottleneck
2026-05-10T08-50-02Z_M1_T1_LiBr_vc_relax,M1_T1_LiBr_vc_relax,done,1.0,0.008942869692532942,113899,5527,105472,8427,13,100,282.08,195.89814085979015,195.89814085979015,85.56,85.16000000000001,82.65,81.2,85.78185914020985,4.581859140209843,13,13,1,65.0,98.0,99.0,13.0,9061.0,186.32,32.0,0,112,compute
2026-05-10T08-54-46Z_M1_T1_LiCl_vc_relax,M1_T1_LiCl_vc_relax,done,1.0,0.01721882869692533,250465,9116,231424,19041,19,100,547.55,325.23525638785213,325.23525638785213,221.69999999999996,220.3,98.99000000000001,97.4,220.91474361214787,123.51474361214787,19,19,1,54.0,99.0,99.0,19.0,11911.0,187.98,33.0,0,220,compute
2026-05-10T09-03-55Z_M1_T1_LiF_vc_relax,M1_T1_LiF_vc_relax,done,1.0,0.012734202049780381,204509,6997,191104,13405,17,100,326.09,249.66278542485088,249.66278542485088,75.8,74.73,72.22,71.1,75.3572145751491,4.257214575149106,17,17,1,48.0,98.0,99.0,38.0,9899.0,249.98,36.0,0,130,compute
2026-05-10T09-09-22Z_M1_T1_Li_vc_relax,M1_T1_Li_vc_relax,done,1.0,0.013180029282576868,230122,7074,216064,14058,18,100,858.39,254.73631536960602,254.73631536960602,603.0,601.38,599.47,584.7,602.033684630394,17.33368463039392,18,18,1,48.0,67.0,78.0,25.0,9881.0,214.75,35.0,0,344,compute
2026-05-10T09-13-12Z_M1_T1_MgO_vc_relax,M1_T1_MgO_vc_relax,done,1.0,0.021248872620790626,531601,13143,513792,17809,29,100,1045.64,468.70921043492854,468.70921043492854,576.22,575.24,305.53999999999996,296.0,575.9507895650715,279.95078956507155,29,29,5,43.0,62.0,76.0,22.0,9881.0,214.32,34.0,0,418,compute
2026-05-10T09-23-42Z_M1_T1_Mg_vc_relax,M1_T1_Mg_vc_relax,done,1.0,0.012069780380673498,185291,6647,172544,12747,16,100,333.62,239.37459770124406,239.37459770124406,93.60000000000001,90.4,89.12,88.2,91.04540229875595,2.8454022987559426,16,16,1,33.0,62.0,76.0,31.0,4919.0,233.11,34.0,0,134,compute
2026-05-10T09-25-49Z_M1_T1_NaBr_vc_relax,M1_T1_NaBr_vc_relax,done,1.0,0.01524770131771596,275637,7995,259072,16565,21,100,448.62,294.0050823567435,294.0050823567435,153.94,152.63,48.74,48.1,153.3049176432565,105.2049176432565,21,21,1,33.0,98.0,99.0,10.0,5941.0,162.18,32.0,0,180,compute
2026-05-10T09-29-16Z_M1_T1_NaCl_vc_relax,M1_T1_NaCl_vc_relax,done,1.0,0.017793909224011716,317038,10058,299136,17902,19,100,504.33,359.7461433811113,359.7461433811113,143.96999999999997,140.48999999999998,,138.6,141.10385661888867,2.503856618888676,19,19,1,23.0,98.0,99.0,5.0,5941.0,162.46,32.0,0,202,compute
2026-05-10T09-30-40Z_M1_T1_NaF_vc_relax,M1_T1_NaF_vc_relax,done,1.0,0.01444840409956076,193831,9210,180864,12967,18,100,386.33,336.03233589977026,336.03233589977026,49.67000000000001,43.78,38.78,38.4,44.40766410022972,6.007664100229718,18,18,1,23.0,99.0,99.0,4.0,5941.0,162.46,32.0,0,156,compute
2026-05-10T09-33-19Z_M1_T1_Na_vc_relax,M1_T1_Na_vc_relax,done,1.0,0.020476486090775986,517302,13257,501376,15926,31,100,2652.48,491.1940040709451,491.1940040709451,2160.6499999999996,2159.92,355.06,351.0,2160.5559959290554,1809.5559959290554,31,31,1,48.0,65.0,99.0,19.0,17872.0,203.23,35.0,0,1060,compute
2026-05-10T09-37-08Z_M1_T1_P_black_vc_relax,M1_T1_P_black_vc_relax,done,1.0,0.01807265007320644,319941,9495,300288,19653,20,100,2282.7,342.7912954194471,342.7912954194471,1939.26,1938.5,1034.04,1903.6000000000001,1939.1487045805527,35.54870458055257,20,20,3,49.0,64.0,93.0,19.0,17872.0,204.79,35.0,0,912,compute
2026-05-10T09-37-42Z_M1_T1_Pb_vc_relax,M1_T1_Pb_vc_relax,done,1.0,0.010633001464128844,177959,6710,168576,9383,18,100,2322.12,241.7086629215628,241.7086629215628,2079.76,2078.8900000000003,710.15,693.7,2079.541337078437,1385.8413370784372,18,18,1,49.0,64.0,93.0,19.0,17872.0,203.8,35.0,0,928,compute
2026-05-10T10-11-25Z_M1_T1_Pd_vc_relax,M1_T1_Pd_vc_relax,done,1.0,0.008439443631039531,105239,5349,97536,7703,13,100,544.0,185.87890228629112,185.87890228629112,357.48999999999995,356.7,,347.7,357.3310977137089,9.631097713708925,13,13,1,39.0,83.0,98.0,13.0,11794.0,183.94,32.0,0,218,compute
2026-05-10T10-15-12Z_M1_T1_Pt_vc_relax,M1_T1_Pt_vc_relax,done,1.0,0.010932240117130307,154062,5925,142208,11854,13,100,304.52,202.52427861467004,202.52427861467004,101.36,100.27000000000001,98.63,96.7,100.90572138532995,4.2057213853299515,13,13,1,32.0,90.0,98.0,11.0,9919.0,187.4,32.0,0,122,compute
2026-05-10T10-16-25Z_M1_T1_RbCl_vc_relax,M1_T1_RbCl_vc_relax,done,1.0,0.015899443631039532,266080,9517,251008,15072,19,100,352.94,327.02160160336643,327.02160160336643,25.3,24.57,20.87,20.4,25.188398396633563,4.788398396633564,19,19,1,31.0,60.0,98.0,0.0,1977.0,141.2,32.0,0,140,compute
2026-05-10T10-17-32Z_M1_T1_Rb_vc_relax,M1_T1_Rb_vc_relax,done,1.0,0.01687879941434846,256369,12314,244608,11761,20,100,1340.55,424.14780968707055,424.14780968707055,915.7800000000001,911.74,1065.5,1060.4,912.3621903129293,-148.03780968707076,20,20,1,48.0,98.0,99.0,2.0,5112.0,141.2,32.0,0,536,compute
2026-05-10T10-20-18Z_M1_T1_SiO2_alpha_quartz_vc_relax,M1_T1_SiO2_alpha_quartz_vc_relax,done,1.0,0.013799062957540263,204984,6385,187904,17080,15,100,1027.31,222.50012772809714,222.50012772809714,804.1899999999999,803.52,799.86,797.6,804.1398722719028,6.539872271902823,15,15,1,55.0,98.0,99.0,2.0,5260.0,140.64,32.0,0,410,compute
2026-05-10T10-20-31Z_M1_T1_Si_vc_relax,M1_T1_Si_vc_relax,done,1.0,0.01942445095168375,392205,9745,370560,21645,21,100,760.21,342.4508453505114,342.4508453505114,417.12,413.9,189.64,185.7,414.53915464948864,228.83915464948865,21,21,1,57.0,98.0,99.0,1.0,5298.0,139.6,32.0,0,304,compute
2026-05-10T10-22-19Z_M1_T1_Sn_alpha_vc_relax,M1_T1_Sn_alpha_vc_relax,done,1.0,0.021736017569546122,465787,12396,444800,20987,24,100,666.33,437.2164696250111,437.2164696250111,228.46999999999997,225.23999999999998,220.32999999999998,216.4,225.88353037498896,9.483530374988959,24,24,2,60.0,98.0,99.0,1.0,5298.0,139.81,32.0,0,268,compute
2026-05-10T10-33-12Z_M1_T1_SrO_vc_relax,M1_T1_SrO_vc_relax,done,1.0,0.014396486090775987,249610,7727,234240,15370,16,100,363.71,277.7008464075625,277.7008464075625,85.38999999999999,84.35,37.05,36.3,84.9691535924375,48.669153592437496,16,16,1,39.0,98.0,99.0,3.0,4181.0,145.35,32.0,0,146,compute
2026-05-10T10-33-26Z_M1_T1_Sr_vc_relax,M1_T1_Sr_vc_relax,done,1.0,0.01060272327964861,189937,6462,180224,9713,21,100,405.55,234.58051302284002,234.58051302284002,170.36,167.04999999999998,161.91,160.7,167.65948697715996,6.959486977159969,21,21,1,26.0,98.0,99.0,3.0,4181.0,145.25,32.0,0,162,compute
2026-05-10T10-37-27Z_M1_T1_ZnO_vc_relax,M1_T1_ZnO_vc_relax,done,1.0,0.0313893411420205,794652,17365,764288,30364,31,100,760.87,611.1227270355448,611.1227270355448,149.10999999999999,148.45999999999998,134.68,132.39999999999998,149.0972729644552,16.69727296445521,31,31,4,0.0,99.0,99.0,0.0,3719.0,138.35,32.0,0,304,compute
